System,Dataset,Predictive_Model,MAE,RMSE,R2_Score,MAPE_pct,Decomposed_Pipeline,Uncertainty_Estimation,Prescriptive_Optimization,Risk_Engine
Baseline Framework (Direct Profit + Linear Regression),Global Superstore 2016 (REAL DATA),Linear Regression,89.12,235.47,0.6864,363.45,No,No,No,Rule-Threshold Only
Proposed Framework (Multi-Stage Demand-Driven + Risk + Optimization),Global Superstore 2016 (REAL DATA),CatBoost / XGBoost / ANN,39.68,79.95,0.9638,165.08,Yes (Quantity -> Sales -> Profit),Yes (Conformal 90% CI),Yes (Price/Discount Grid),Multi-Factor + Downside Risk
